Páginas principales,Clics,Impresiones,CTR,Posición
https://barberia.bookrhub.com/,4,96,4.17%,8.94
https://barber.bookrhub.com/,2,37,5.41%,15.03
https://www.bookrhub.com/,0,31,0%,4.16
https://barberia.bookrhub.com/locale/es,0,13,0%,8.46
https://plum.bookrhub.com/,0,11,0%,24.64
https://argentum.bookrhub.com/,0,10,0%,8.9
https://barber.bookrhub.com/app/bookings,0,10,0%,12.6
https://berlina.bookrhub.com/,0,9,0%,5.67
https://argentum.bookrhub.com/locale/de,0,7,0%,7.86
https://berlina.bookrhub.com/locale/es,0,6,0%,10
https://bookrhub.com/?locale=es&currency=USD,0,4,0%,7
https://demo.bookrhub.com/barber,0,3,0%,2.33
https://my.bookrhub.com/signup,0,3,0%,7
https://barber.bookrhub.com/locale/de,0,3,0%,9.33
https://www.bookrhub.com/?locale=es-AR&currency=ARS,0,3,0%,13.67
https://www.bookrhub.com/booking-system-for-beauty-salons-in-melbourne,0,3,0%,78
https://www.bookrhub.com/?locale=en-NZ&currency=NZD,0,1,0%,1
https://bookrhub.com/?locale=es&currency=ARS,0,1,0%,2
https://demo.bookrhub.com/,0,1,0%,6
https://barber.bookrhub.com/locale/en,0,1,0%,7
https://my.bookrhub.com/session/new,0,1,0%,12
https://my.bookrhub.com/signup?plan=solo,0,1,0%,14
